Date,Weight,CalorieMaintenanceLevel,RestDayFat,RestDayCarbs,RestDayProtein,RestDayCalories,TrainingDayFat,TrainingDayCarbs,TrainingDayProtein,TrainingDayCalories
1/14/2019,125.4,2115.6,70.5,263.6,144.2,2265.6,63.9,365.9,144.2,2615.6
1/22/2019,123.6,2104.4,70.1,263.8,142.1,2254.4,63.7,365.7,142.1,2604.4
1/28/2019,126.2,2120.6,70.6,263.7,145.1,2270.6,64.1,365.8,145.1,2620.6
2/4/2019,127,2125.6,70.8,263.5,146.1,2275.6,64.2,365.9,146.1,2625.6
2/11/2019,128,2131.9,71,263.5,147.2,2281.9,64.3,366.1,147.2,2631.9
2/18/2019,127.4,2128.1,70.9,263.5,146.5,2278.1,64.2,366.1,146.5,2628.1
2/25/2019,128.6,2135.6,71.1,263.5,147.9,2285.6,64.4,366.1,147.9,2635.6
3/4/2019,128.6,2135.6,71.1,263.5,147.9,2285.6,64.4,366.1,147.9,2635.6
3/11/2019,129.4,2140.6,71.3,263.4,148.8,2290.6,64.5,366.2,148.8,2640.6
3/18/2019,128.8,2136.9,71.1,263.6,148.1,2286.9,64.5,366,148.1,2636.9
3/25/2019,130,2144.3,71.4,263.4,149.5,2294.3,64.6,366.2,149.5,2644.3
4/1/2019,130,2144.3,71.4,263.4,149.5,2294.3,64.6,366.2,149.5,2644.3
4/8/2019,130.2,2145.6,71.4,263.6,149.7,2295.6,64.7,366.1,149.7,2645.6
4/15/2019,132.2,2158.1,71.8,263.5,152,2308.1,65,366.3,152,2658.1
4/22/2019,132.2,2158.1,71.8,263.5,152,2308.1,65,366.3,152,2658.1
4/29/2019,131.4,2153.1,71.7,263.4,151.1,2303.1,64.9,366.2,151.1,2653.1
5/6/2019,133.4,2165.5,72,263.5,153.4,2315.5,65.2,366.3,153.4,2665.5
5/13/2019,132.4,2159.3,71.8,263.5,152.3,2309.3,65,366.3,152.3,2659.3
5/20/2019,131.4,2153.1,71.7,263.4,151.1,2303.1,64.9,366.2,151.1,2653.1
5/27/2019,133.2,2164.3,72,263.4,153.2,2314.3,65.1,366.4,153.2,2664.3
6/3/2019,130.2,2145.6,71.4,263.6,149.7,2295.6,64.7,366.1,149.7,2645.6
6/10/2019,130.2,2145.6,71.4,263.6,149.7,2295.6,64.7,366.1,149.7,2645.6
6/17/2019,133,2163.1,72,263.4,152.9,2313.1,65.1,366.4,152.9,2663.1
6/28/2019,129.2,2139.4,71.2,263.5,148.6,2289.4,64.5,366.1,148.6,2639.4
7/2/2019,131.4,2153.1,71.7,263.4,151.1,2303.1,64.9,366.2,151.1,2653.1
7/9/2019,132.8,2161.8,71.9,263.5,152.7,2311.8,65.1,366.3,152.7,2661.8
7/15/2019,131.2,2151.8,71.6,263.5,150.9,2301.8,64.8,366.2,150.9,2651.8
7/22/2019,131.2,2151.8,71.6,263.5,150.9,2301.8,64.8,366.2,150.9,2651.8
7/29/2019,133.6,2166.8,72.1,263.4,153.6,2316.8,65.2,366.4,153.6,2666.8
8/6/2019,132,2156.8,71.8,263.4,151.8,2306.8,64.9,366.4,151.8,2656.8
8/12/2019,132,2156.8,71.8,263.4,151.8,2306.8,64.9,366.4,151.8,2656.8
8/19/2019,132,2156.8,71.8,263.4,151.8,2306.8,64.9,366.4,151.8,2656.8
8/27/2019,133.4,2165.5,72,263.5,153.4,2315.5,65.2,366.3,153.4,2665.5
9/16/2019,134.8,2174.3,72.3,263.4,155,2324.3,65.4,366.4,155,2674.3
9/23/2019,135.8,2180.5,72.5,263.3,156.2,2330.5,65.5,366.5,156.2,2680.5
9/30/2019,137,2188,72.7,263.3,157.6,2338,65.7,366.6,157.6,2688
10/7/2019,137,2188,72.7,263.3,157.6,2338,65.7,366.6,157.6,2688
10/14/2019,137.8,2193,72.9,263.2,158.5,2343,65.8,366.7,158.5,2693
10/21/2019,137.8,2193,72.9,263.2,158.5,2343,65.8,366.7,158.5,2693
10/28/2019,137.8,2193,72.9,263.2,158.5,2343,65.8,366.7,158.5,2693
11/4/2019,137.8,2193,72.9,263.2,158.5,2343,65.8,366.7,158.5,2693
11/11/2019,137.8,2193,72.9,263.2,158.5,2343,65.8,366.7,158.5,2693
11/25/2019,136.6,2185.5,72.7,263.2,157.1,2335.5,65.6,366.7,157.1,2685.5
12/2/2019,135.8,2180.5,72.5,263.3,156.2,2330.5,65.5,366.5,156.2,2680.5
12/9/2019,135.8,2180.5,72.5,263.3,156.2,2330.5,65.5,366.5,156.2,2680.5
12/30/2019,135.8,2180.5,72.5,263.3,156.2,2330.5,65.5,366.5,156.2,2680.5
