Date,DayType,DayOfWeek,TotalFat,TargetFat,TotalCarbs,TargetCarbs,TotalProtein,TargetProtein,TotalCalories,TargetCalories
1/6/2020,Training,Monday,112,65.3,248.6,366.4,166.9,154.3,2670,2670.5
1/7/2020,Rest,Tuesday,106.7,72.2,235.9,263.4,131.2,154.3,2428.7,2320.5
1/8/2020,Rest,Wednesday,79.7,72.2,249.3,263.4,111.6,154.3,2160.9,2320.5
1/9/2020,Training,Thursday,145.3,65.3,273.2,366.4,219.8,154.3,3279.7,2670.5
1/10/2020,Rest,Friday,101.8,72.2,260,263.4,109,154.3,2392.2,2320.5
1/11/2020,Training,Saturday,95.6,65.3,480,366.4,128.8,154.3,3295.6,2670.5
1/12/2020,Rest,Sunday,59.8,72.2,205.1,263.4,81.8,154.3,1685.8,2320.5
1/13/2020,Rest,Monday,98.3,72.2,333,263.4,122.1,154.3,2705.1,2320.5
1/14/2020,Rest,Tuesday,114,72.2,257.9,263.4,139.2,154.3,2614.4,2320.5
1/15/2020,Training,Wednesday,118.7,65.3,291.5,366.4,204.5,154.3,3052.3,2670.5
1/20/2020,Rest,Monday,80.2,72.7,239.8,263.2,140.8,157.1,2244.2,2335.5
1/21/2020,Training,Tuesday,123.9,65.6,248.2,366.7,185,157.1,2847.9,2685.5
1/22/2020,Rest,Wednesday,85,72.7,285.5,263.2,111,157.1,2351,2335.5
1/23/2020,Training,Thursday,76.9,65.6,145.5,366.7,152.1,157.1,1882.5,2685.5
1/24/2020,Rest,Friday,89.1,72.7,417.5,263.2,107,157.1,2899.9,2335.5
1/25/2020,Rest,Saturday,88.5,72.7,266,263.2,86,157.1,2204.5,2335.5
1/27/2020,Training,Monday,116.4,65.6,230.4,366.7,196.2,157.1,2754,2685.5
1/28/2020,Rest,Tuesday,117,72.7,186.5,263.2,122,157.1,2287,2335.5
1/29/2020,Training,Wednesday,82.3,65.6,221.6,366.7,139.5,157.1,2185.1,2685.5
1/30/2020,Rest,Thursday,154.4,72.7,129.1,263.2,116.3,157.1,2371.2,2335.5
1/31/2020,Rest,Friday,117.8,72.7,277.5,263.2,133,157.1,2702.2,2335.5
2/1/2020,Training,Saturday,64.2,65.6,356.9,366.7,143.3,157.1,2578.6,2685.5
2/2/2020,Rest,Sunday,114.4,72.7,308.3,263.2,83.3,157.1,2596,2335.5
2/3/2020,Training,Monday,45.1,65.6,287.4,366.7,155.3,157.1,2176.7,2685.5
2/4/2020,Rest,Tuesday,115.8,72.7,156,263.2,191.8,157.1,2433.4,2335.5
2/5/2020,Rest,Wednesday,108.5,72.7,263,263.2,132,157.1,2556.5,2335.5
2/6/2020,Training,Thursday,185.5,65.6,151.8,366.7,180.7,157.1,2999.5,2685.5
2/9/2020,Rest,Sunday,56.2,72.7,268,263.2,81.9,157.1,1905.4,2335.5
2/10/2020,Training,Monday,100.9,65.6,296.2,366.7,171.8,157.1,2780.1,2685.5
2/11/2020,Rest,Tuesday,111.8,72.7,300,263.2,120.4,157.1,2687.8,2335.5
2/12/2020,Rest,Wednesday,75.9,72.7,123.5,263.2,116.3,157.1,1642.3,2335.5
2/13/2020,Training,Thursday,88.9,65.6,266.4,366.7,149.4,157.1,2463.3,2685.5
2/17/2020,Rest,Monday,94.6,72.7,296.8,263.2,119.7,157.1,2517.4,2335.5
2/18/2020,Training,Tuesday,76.8,65.6,273,366.7,113.2,157.1,2236,2685.5
2/19/2020,Rest,Wednesday,117.9,72.7,217.8,263.2,139.5,157.1,2490.3,2335.5
2/24/2020,Training,Monday,89.8,65.6,214.4,366.7,152.5,157.1,2275.8,2685.5
2/25/2020,Rest,Tuesday,64.2,72.7,218.5,263.2,119.8,157.1,1931,2335.5
2/26/2020,Training,Wednesday,140.3,65.6,306.1,366.7,184.3,157.1,3224.3,2685.5
3/2/2020,Rest,Monday,74,72.7,157.5,263.2,107,157.1,1724,2335.5
3/3/2020,Training,Tuesday,85.4,65.6,305.9,366.7,158.2,157.1,2625,2685.5
3/4/2020,Rest,Wednesday,150.5,72.7,358.8,263.2,138.5,157.1,3343.7,2335.5
3/9/2020,Training,Monday,68.4,65.6,215.2,366.7,136.7,157.1,2023.2,2685.5
3/10/2020,Rest,Tuesday,121.1,72.7,252.8,263.2,123.5,157.1,2595.1,2335.5
3/11/2020,Rest,Wednesday,64.8,72.7,184,263.2,147.8,157.1,1910.4,2335.5
3/12/2020,Training,Thursday,64.4,65.6,215.2,366.7,132.5,157.1,1970.4,2685.5
8/3/2020,Training,Monday,41.6,64.9,293.7,366.2,145.3,151.3,2130.4,2654.3
