Date,Weight,BodyFat,BodyWater,MuscleMass,BoneMass,Bmi
1/6/2020,134.2,12.6,63.6,45.2,4.9,21.6
1/20/2020,136.6,13.2,63.5,45.1,4.9,21.7
1/27/2020,136.6,13.4,63.4,45,4.9,21.7
2/3/2020,136.6,13.1,63.6,45.2,4.9,21.9
2/10/2020,136.6,13.2,63.5,45.1,4.9,21.7
2/18/2020,136.6,13.1,63.6,45.2,49,21.7
3/3/2020,136.6,13.1,63.6,45.2,4.9,21.7
3/9/2020,136.6,13.1,63.9,45.2,4.9,21.7
8/3/2020,131.6,12,64.4,45.8,5,20.9
8/11/2020,131.6,12,64.4,45.8,5,20.9
8/17/2020,132.8,12.4,64.1,45.6,5,21.1
8/24/2020,132.8,12.3,64.2,45.6,5,21.1
8/31/2020,133.8,12.7,63.9,45.4,4.9,21.3
9/8/2020,135.2,12.9,63.8,45.3,4.9,21.5
9/21/2020,136.4,13.1,63.6,45.2,4.9,21.7
9/29/2020,137.8,13.3,63.5,45.1,4.9,21.9
10/26/2020,137,13.1,63.6,45.2,4.9,21.7
11/2/2020,135.6,12.9,63.8,45.3,4.9,21.5
11/9/2020,137,13.2,63.5,45.1,4.9,21.7
11/16/2020,138,13.4,63.4,45,4.9,21.9
11/30/2020,139.4,13.8,63.1,44.8,4.9,22.1
12/10/2020,140.8,14.1,62.9,44.7,4.9,22.4
12/28/2020,138.2,13.6,63.2,44.9,4.9,22
